"species","decimalLongitude","decimalLatitude"
"Salminus_brasiliensis",-58.880556,-34.297222
"Salminus_brasiliensis",-58.783333,-34.266667
"Salminus_brasiliensis",-59.65,-33.683333
"Salminus_brasiliensis",-47.383333,-21.916667
"Salminus_brasiliensis",-51.75,-21.119444
"Salminus_brasiliensis",-24.466667,-54.633333
"Salminus_brasiliensis",-63.9,-23.2
"Salminus_brasiliensis",-75.734797,1.508288
"Salminus_brasiliensis",-65.3,-27.283333
"Salminus_brasiliensis",-62.466667,-24.383333
"Salminus_brasiliensis",-58.520065,-34.649658
"Salminus_brasiliensis",-58.467074,-33.659693
"Salminus_brasiliensis",-44.966667,-17.333333
"Salminus_brasiliensis",-57.66667,-25.26667
"Salminus_brasiliensis",-51.248809,-30.03052
"Salminus_brasiliensis",-58.520065,-34.649658
"Salminus_brasiliensis",-57.094426,-29.742559
"Salminus_brasiliensis",-49.950601,-21.22858
"Salminus_brasiliensis",-58.45,-34.6
"Salminus_brasiliensis",-54.316667,-24.266667
"Salminus_brasiliensis",-57.671132,-25.305655
"Salminus_brasiliensis",-57.671132,-25.305655
"Salminus_brasiliensis",-60.63932,-32.94682
"Salminus_brasiliensis",-58.5,-30.667
"Salminus_brasiliensis",-47.416667,-22
"Salminus_brasiliensis",-48.566667,-22.483333
"Salminus_brasiliensis",-47.7504008,-21.5504681
"Salminus_brasiliensis",-50.5198248,-22.9532671
"Salminus_brasiliensis",-50.24682,-22.9407668
"Salminus_brasiliensis",-50.5198248,-22.9532671
"Salminus_brasiliensis",-50.7893233,-22.9087653
"Salminus_brasiliensis",-51.3376269,-22.6421641
"Salminus_brasiliensis",-48.4301001,-19.9648614
"Salminus_brasiliensis",-48.4301001,-19.9648614
"Salminus_brasiliensis",-57.681111,-15.216111
"Salminus_brasiliensis",-57.671132,-25.305655
"Salminus_brasiliensis",-57.8,-16.33
"Salminus_brasiliensis",-47.352,-21.924
"Salminus_brasiliensis",-47.352,-21.924
"Salminus_brasiliensis",-47.371,-21.926
"Salminus_brasiliensis",-51.416,-29.662
"Salminus_brasiliensis",-49.621,-20.178
"Salminus_brasiliensis",-48.575,-20.127
"Salminus_brasiliensis",-49.26,-20.424
"Salminus_brasiliensis",-48.575,-22.514
"Salminus_brasiliensis",-48.48,-22.075
"Salminus_brasiliensis",-50.25,-22.933
"Salminus_brasiliensis",-50.25,-22.933
"Salminus_brasiliensis",-50.517,-22.933
"Salminus_brasiliensis",-50.25,-22.933
"Salminus_brasiliensis",-53.765,-23.37
"Salminus_brasiliensis",-53.765,-23.37
"Salminus_brasiliensis",-53.835,-27.168
"Salminus_brasiliensis",-54.055,-27.264
"Salminus_brasiliensis",-53.884,-27.143
"Salminus_brasiliensis",-53.884,-27.143
"Salminus_brasiliensis",-51.833,-27.517
"Salminus_brasiliensis",-51.833,-27.517
"Salminus_brasiliensis",-51.833,-27.517
"Salminus_brasiliensis",-57.25,-23.491667
"Salminus_brasiliensis",-64.75,-26.5
"Salminus_brasiliensis",-57.78,-15.09
"Salminus_brasiliensis",-54.91,-30.28
"Salminus_brasiliensis",-57.77,-14.81
"Salminus_brasiliensis",-53.83,-27.17
"Salminus_brasiliensis",-47.65,-22.72
"Salminus_brasiliensis",-51.43127,-31.23866
"Salminus_brasiliensis",-57.779,-15.089
"Salminus_brasiliensis",-54.909,-30.281
"Salminus_brasiliensis",-57.772,-14.808
"Salminus_brasiliensis",-47.653,-22.723
"Salminus_brasiliensis",-53.834,-27.172
"Salminus_brasiliensis",-58.520065,-34.649658
"Salminus_brasiliensis",-58.416667,-34
